GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-619666105,SushiGo,3,GAME_OVER,97,0,4,64,BasicMCTS,44.0,41.0,33.0,28.0,rheaT2,rhea,mcts,1,BasicMCTS,1,2,2,3,3,4,rheaT2,4,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,1
503938916,SushiGo,3,GAME_OVER,96,0,4,65,BasicMCTS,24.0,42.0,36.0,28.0,rheaT2,rhea,mcts,4,BasicMCTS,4,1,1,2,2,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,0
-428737539,SushiGo,3,GAME_OVER,99,0,4,66,BasicMCTS,39.0,38.0,45.0,42.0,rheaT2,rhea,mcts,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
-1745970416,SushiGo,3,GAME_OVER,97,0,4,67,BasicMCTS,35.0,28.0,25.0,34.0,rheaT2,rhea,mcts,1,BasicMCTS,1,3,3,4,4,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,1
-1436161366,SushiGo,3,GAME_OVER,97,0,4,68,BasicMCTS,31.0,35.0,48.0,41.0,rheaT2,rhea,mcts,4,BasicMCTS,4,3,3,1,1,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
-1151041315,SushiGo,3,GAME_OVER,97,0,4,69,BasicMCTS,26.0,39.0,44.0,30.0,rheaT2,rhea,mcts,4,BasicMCTS,4,2,2,1,1,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
697067980,SushiGo,3,GAME_OVER,98,0,4,70,BasicMCTS,34.0,26.0,45.0,30.0,rheaT2,rhea,mcts,2,BasicMCTS,2,4,4,1,1,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
1168140970,SushiGo,3,GAME_OVER,97,0,4,71,BasicMCTS,37.0,14.0,59.0,35.0,rheaT2,rhea,mcts,2,BasicMCTS,2,4,4,1,1,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
-1491060889,SushiGo,3,GAME_OVER,97,0,4,72,BasicMCTS,29.0,21.0,52.0,39.0,rheaT2,rhea,mcts,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
-1819802610,SushiGo,3,GAME_OVER,99,0,4,73,BasicMCTS,29.0,25.0,41.0,39.0,rheaT2,rhea,mcts,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
-2121274456,SushiGo,3,GAME_OVER,98,0,4,74,BasicMCTS,42.0,30.0,44.0,36.0,rheaT2,rhea,mcts,2,BasicMCTS,2,4,4,1,1,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
259280696,SushiGo,3,GAME_OVER,98,0,4,75,BasicMCTS,35.0,26.0,41.0,31.0,rheaT2,rhea,mcts,2,BasicMCTS,2,4,4,1,1,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
1706137030,SushiGo,3,GAME_OVER,97,0,4,76,BasicMCTS,26.0,38.0,36.0,34.0,rheaT2,rhea,mcts,4,BasicMCTS,4,1,1,2,2,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,0
545138396,SushiGo,3,GAME_OVER,99,0,4,77,BasicMCTS,48.0,28.0,37.0,29.0,rheaT2,rhea,mcts,1,BasicMCTS,1,4,4,2,2,3,rheaT2,3,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,1
1376458976,SushiGo,3,GAME_OVER,97,0,4,78,BasicMCTS,31.0,43.0,28.0,27.0,rheaT2,rhea,mcts,2,BasicMCTS,2,1,1,3,3,4,rheaT2,4,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,0
1195311045,SushiGo,3,GAME_OVER,97,0,4,79,BasicMCTS,26.0,33.0,33.0,37.0,rheaT2,rhea,mcts,4,BasicMCTS,4,2,2,3,3,1,rheaT2,1,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,2
813477029,SushiGo,3,GAME_OVER,98,0,4,80,BasicMCTS,37.0,26.0,36.0,42.0,rheaT2,rhea,mcts,2,BasicMCTS,2,4,4,3,3,1,rheaT2,1,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,2
-1466178614,SushiGo,3,GAME_OVER,97,0,4,81,BasicMCTS,40.0,30.0,31.0,39.0,rheaT2,rhea,mcts,1,BasicMCTS,1,4,4,3,3,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,1
346665430,SushiGo,3,GAME_OVER,97,0,4,82,BasicMCTS,28.0,25.0,32.0,45.0,rhea,mcts,rheaT2,3,BasicMCTS,3,4,4,2,2,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
879079583,SushiGo,3,GAME_OVER,98,0,4,83,BasicMCTS,22.0,35.0,37.0,43.0,rhea,mcts,rheaT2,4,BasicMCTS,4,3,3,2,2,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
-619666105,SushiGo,3,GAME_OVER,100,0,4,84,BasicMCTS,46.0,33.0,32.0,42.0,rhea,mcts,rheaT2,1,BasicMCTS,1,3,3,4,4,2,rhea,2,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,1
503938916,SushiGo,3,GAME_OVER,99,0,4,85,BasicMCTS,27.0,24.0,28.0,26.0,rhea,mcts,rheaT2,2,BasicMCTS,2,4,4,1,1,3,rhea,3,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,3
-428737539,SushiGo,3,GAME_OVER,99,0,4,86,BasicMCTS,35.0,25.0,38.0,47.0,rhea,mcts,rheaT2,3,BasicMCTS,3,4,4,2,2,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
-1745970416,SushiGo,3,GAME_OVER,98,0,4,87,BasicMCTS,35.0,46.0,17.0,29.0,rhea,mcts,rheaT2,2,BasicMCTS,2,1,1,4,4,3,rhea,3,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,0
-1436161366,SushiGo,3,GAME_OVER,97,0,4,88,BasicMCTS,34.0,30.0,38.0,32.0,rhea,mcts,rheaT2,2,BasicMCTS,2,4,4,1,1,3,rhea,3,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,3
-1151041315,SushiGo,3,GAME_OVER,96,0,4,89,BasicMCTS,27.0,33.0,38.0,41.0,rhea,mcts,rheaT2,4,BasicMCTS,4,3,3,2,2,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
697067980,SushiGo,3,GAME_OVER,98,0,4,90,BasicMCTS,45.0,42.0,27.0,34.0,rhea,mcts,rheaT2,1,BasicMCTS,1,2,2,4,4,3,rhea,3,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,1
1168140970,SushiGo,3,GAME_OVER,98,0,4,91,BasicMCTS,31.0,19.0,24.0,46.0,rhea,mcts,rheaT2,2,BasicMCTS,2,4,4,3,3,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
-1491060889,SushiGo,3,GAME_OVER,98,0,4,92,BasicMCTS,30.0,27.0,23.0,46.0,rhea,mcts,rheaT2,2,BasicMCTS,2,3,3,4,4,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
-1819802610,SushiGo,3,GAME_OVER,99,0,4,93,BasicMCTS,31.0,29.0,28.0,37.0,rhea,mcts,rheaT2,2,BasicMCTS,2,3,3,4,4,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
-2121274456,SushiGo,3,GAME_OVER,98,0,4,94,BasicMCTS,34.0,25.0,28.0,35.0,rhea,mcts,rheaT2,2,BasicMCTS,2,4,4,3,3,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
259280696,SushiGo,3,GAME_OVER,98,0,4,95,BasicMCTS,30.0,25.0,27.0,48.0,rhea,mcts,rheaT2,2,BasicMCTS,2,4,4,3,3,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
1706137030,SushiGo,3,GAME_OVER,97,0,4,96,BasicMCTS,27.0,26.0,40.0,35.0,rhea,mcts,rheaT2,3,BasicMCTS,3,4,4,1,1,2,rhea,2,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,3
545138396,SushiGo,3,GAME_OVER,97,0,4,97,BasicMCTS,30.0,30.0,31.0,46.0,rhea,mcts,rheaT2,4,BasicMCTS,4,3,3,2,2,1,rhea,1,mcts,rheaT2,rhea,BasicMCTS,rheaT2,mcts,2
